Gene ID	Gene name
98531_g_at	Gas5
97379_at	Fbp2
161294_f_at	Clu
98931_at	Gns
93328_at	Hdc
99136_at	Axl
160406_at	Ctsk
93837_at	Kng1
92906_at	Epha7
98477_s_at	Ank3
92724_at	Hnrnpa1
101558_s_at	Psmb5
99346_at	
97118_at	A630007B06Rik
97413_at	1600029D21Rik
95543_at	Tpm4
98067_at	Cdkn1a
94683_at	AA516738
103240_f_at	Ear2
160986_r_at	Ace2
94665_at	Pla2g5
98589_at	Plin2
103891_i_at	Ell2
92850_at	Rrbp1
97809_at	Ehmt2
104065_at	Edem1
95430_f_at	Spg21
96070_at	Pfn1
160692_at	Fcer1g
102718_at	Ccr5
95622_at	Klhdc2
92564_at	Lrrfip1
160580_at	Man1a
95077_at	Rabggtb
100065_r_at	Gja1
100437_g_at	Orm1 /// Orm2
102021_at	Il4ra
97527_at	Cks2
160124_r_at	Atp6v1c1
99638_at	Col18a1
99582_at	Epcam
160173_at	Meg3
100436_at	Orm1
100397_at	Tyrobp
160359_at	1190002H23Rik
160651_at	Tacstd2
92217_s_at	Gp49a /// Lilrb4
101551_s_at	Tes
93346_at	Pgk1
100557_g_at	Eif4b
162483_f_at	Col18a1
160897_at	Lpcat1
103389_at	Aass
94513_r_at	Arcn1
101955_at	Hspa5
100311_f_at	Ear1
160172_at	Meg3
99074_at	Vil1
93021_at	Bex4
100325_at	Gp49a
162109_f_at	Sh3rf1
95655_at	Obfc2a
97996_at	Papola
96634_at	5730469M10Rik
97104_g_at	Rfk
103494_at	Tspan8
97241_at	Ubxn1
103984_at	Pkhd1
104099_at	Pglyrp1
98467_at	Itih4
103258_at	Ly75
96748_i_at	Tmem30b
93020_at	Bex1
92628_at	Rpl36
92858_at	Slpi
162239_at	4933407C03Rik
98505_i_at	Cpox
93456_r_at	Bmp4
97197_r_at	AI506816
160565_at	Ckmt1
93097_at	Arg1
103926_at	Eif4g1
96047_at	Rbp4
101912_at	1100001G20Rik
103070_at	Sirpa
102974_at	Marco
92948_at	Csf2
162475_f_at	Pglyrp1
100012_at	Laptm5
101881_g_at	Col18a1
96365_at	Slco6c1
97920_at	Krt7
96937_at	Pfdn1
100583_at	Igh-2 /// Igh-VJ558 /// LOC544903
161141_r_at	
160508_at	Psca
95339_r_at	Mmp12
92971_at	Parm1
162075_r_at	Mpeg1
94140_at	Msr1
98820_g_at	Hoxd1
101882_s_at	Col18a1
94057_g_at	Scd1
100946_at	Hspa1b
103759_at	Bst1
104388_at	Ccl9
103226_at	Mrc1
101800_at	Fpr2
100476_at	Ibsp
160236_at	Slain1
160509_at	Chia
93028_at	H19
96801_at	Ak1
104179_at	Arf6
161486_f_at	Igh-2 /// Igh-VJ558 /// LOC544903
101745_f_at	Igh-6
97119_at	AI596198
98112_r_at	Lap3
99807_r_at	Fv1
98033_at	Plbd1
97689_at	F3
104564_at	Scg3
160975_at	Clip4
93185_at	AU021092
97563_f_at	Gm4770
95291_r_at	
100376_f_at	LOC544903
102824_g_at	Igh-3 /// Ighg
161417_r_at	Mycn
101441_i_at	Itpr2
101656_f_at	Igk-V1
95673_s_at	Basp1
101871_f_at	
93927_f_at	AI324046 /// IghmAC38.205.12 /// LOC100505009 /// LOC544903 /// LOC634206
101975_at	Dlk1
102086_r_at	D15Ertd50e
101923_at	Pla2g7
99637_at	Col15a1
99420_at	Igh-6
98417_at	Mx1
160918_at	S100g
93904_f_at	LOC630348
99974_at	Kcnj15
103458_at	Hc
161544_r_at	Csf2rb2
101870_at	Ighg1
102157_f_at	LOC672291
100721_f_at	Gm16710 /// LOC382693 /// V165-D-J-C mu
101752_f_at	Igh-VJ558 /// IghmAC38.205.12 /// LOC100505002 /// LOC100505009 /// LOC634206 /// LOC634541
161746_i_at	Brix1
102843_s_at	Ighg
103506_f_at	Dsc2
93107_r_at	Tcrb-J
